Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-04,Sixteen Candles,1984,https://boxd.it/7XNbHv,,,,2020-12-22
2024-12-04,La Traversée de Paris,1956,https://boxd.it/7XNbHF,,,,2020-12-22
2024-12-04,Ghost,1990,https://boxd.it/7XNbnl,,,,2020-12-24
2024-12-04,The Breakfast Club,1985,https://boxd.it/7XNbCl,,Yes,,2020-12-28
2024-12-04,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/7XNbHl,,,,2020-12-28
2024-12-04,What's Eating Gilbert Grape,1993,https://boxd.it/7XNbHb,,,,2021-01-02
2024-12-04,Pretty in Pink,1986,https://boxd.it/7XNbH1,,,,2021-01-03
2024-12-04,Gangs of New York,2002,https://boxd.it/7XNbGR,,,,2021-01-09
2024-12-04,Catch Me If You Can,2002,https://boxd.it/7XNbGx,,,,2021-04-15
2024-12-04,Porco Rosso,1992,https://boxd.it/7XNbGH,,,,2021-04-15
2024-12-04,Love Songs,2007,https://boxd.it/7XNbGn,,,,2021-05-23
2024-12-04,What If,2013,https://boxd.it/7XNbGd,,Yes,,2021-05-28
2024-12-04,No Reservations,2007,https://boxd.it/7XNbFT,,,,2021-06-05
2024-12-04,Bye Bye Morons,2020,https://boxd.it/7XNbG3,,Yes,,2021-06-05
2024-12-04,Smart Ass,2014,https://boxd.it/7XNbFJ,,,,2021-06-29
2024-12-04,Nelly and Monsieur Arnaud,1995,https://boxd.it/7XNbFz,,,,2021-07-03
2024-12-04,The Blind Side,2009,https://boxd.it/7XNbFp,,,,2021-07-08
2024-12-04,Gainsbourg: A Heroic Life,2010,https://boxd.it/7XNbFf,,,,2021-07-10
2024-12-04,Youth,2015,https://boxd.it/7XNbF5,,,,2021-07-12
2024-12-04,The Piano Teacher,2001,https://boxd.it/7XNbEB,,,,2021-07-14
2024-12-04,Blind Date,1987,https://boxd.it/7XNbEV,,,,2021-07-14
2024-12-04,Sur la route d'Okinawa,2009,https://boxd.it/7XNbEL,,,,2021-07-15
2024-12-04,Black Widow,2021,https://boxd.it/7XNbEr,,,,2021-07-17
2024-12-04,Kaamelott: The First Chapter,2021,https://boxd.it/7XNbEh,,Yes,,2021-07-21
2024-12-04,Two Friends,1986,https://boxd.it/7XNbE7,,,,2021-09-12
2024-12-04,Princess Mononoke,1997,https://boxd.it/7XNbDD,,,,2021-09-19
2024-12-04,The Gilded Cage,2013,https://boxd.it/7XNbDt,,,,2021-10-09
2024-12-04,Blindness,2008,https://boxd.it/7XNbDj,,,,2021-10-29
2024-12-04,Snatch,2000,https://boxd.it/7XNbD9,,,,2021-12-03
2024-12-04,Le Deal mexicain,1980,https://boxd.it/7XNbCZ,,,,2021-12-04
2024-12-04,La La Land,2016,https://boxd.it/7XNbCP,,,,2021-12-11
2024-12-04,Spider-Man: No Way Home,2021,https://boxd.it/7XNbCF,,,,2021-12-15
2024-12-04,8 Mile,2002,https://boxd.it/7XNbCv,,,,2021-12-22
2024-12-04,Don't Look Up,2021,https://boxd.it/7XNbC1,,,,2022-01-02
2024-12-04,Shutter Island,2010,https://boxd.it/7XNbBR,,,,2022-01-03
2024-12-04,OSS 117: Lost in Rio,2009,https://boxd.it/7XNbBH,,,,2022-01-06
2024-12-04,"OSS 117: Cairo, Nest of Spies",2006,https://boxd.it/7XNbBx,,,,2022-01-07
2024-12-04,Kaamelott: The First Chapter,2021,https://boxd.it/7XNbBd,,,,2022-01-08
2024-12-04,OSS 117: From Africa with Love,2021,https://boxd.it/7XNbBn,,,,2022-01-08
2024-12-04,How we made Asterix & Obelix: Mission Cleopatra,2002,https://boxd.it/7XNbB3,,,,2022-01-11
2024-12-04,The League of Extraordinary Gentlemen,2003,https://boxd.it/7XNbAT,,,,2022-02-11
2024-12-04,(LA) FUREUR DE VIVRE,,https://boxd.it/7XNbAz,,,,2022-02-24
2024-12-04,Batman,1989,https://boxd.it/7XNbAf,,,,2022-03-05
2024-12-04,The Batman,2022,https://boxd.it/7XNbAp,,,,2022-03-05
2024-12-04,Bye Bye Morons,2020,https://boxd.it/7XNbA5,,,,2022-03-06
2024-12-04,Asterix & Obelix: Mission Cleopatra,2002,https://boxd.it/7XNbzV,,,,2022-03-18
2024-12-04,The Fisher King,1991,https://boxd.it/7XNbzB,,,,2022-03-26
2024-12-04,Rust and Bone,2012,https://boxd.it/7XNbzL,,,,2022-03-26
2024-12-04,Martin Eden,2019,https://boxd.it/7XNbzr,,,,2022-04-06
2024-12-04,I Do,2006,https://boxd.it/7XNbyX,,,,2022-04-10
2024-12-04,Meet Joe Black,1998,https://boxd.it/7XNbyD,,,,2022-04-12
2024-12-04,Samba,2014,https://boxd.it/7XNbyN,,,,2022-04-12
2024-12-04,American Beauty,1999,https://boxd.it/7XNbyt,,,,2022-04-16
2024-12-04,Lost in Translation,2003,https://boxd.it/7XNby9,,,,2022-04-17
2024-12-04,La Femme Nikita,1990,https://boxd.it/7XNbyj,,,,2022-04-17
2024-12-04,Summer of 85,2020,https://boxd.it/7XNbxP,,,,2022-04-18
2024-12-04,The Umbrellas of Cherbourg,1964,https://boxd.it/7XNbxF,,Yes,,2022-04-23
2024-12-04,The Big Lebowski,1998,https://boxd.it/7XNbxv,,,,2022-04-29
2024-12-04,The Batman,2022,https://boxd.it/7XNbxl,,,,2022-05-02
2024-12-04,Amélie,2001,https://boxd.it/7XNbx1,,,,2022-05-04
2024-12-04,Kick-Ass,2010,https://boxd.it/7XNbwR,,,,2022-05-26
2024-12-04,Batman Returns,1992,https://boxd.it/7XNbwx,,,,2022-05-29
2024-12-04,Dorian Gray,2009,https://boxd.it/7XNbwn,,,,2022-05-31
2024-12-04,Top Gun: Maverick,2022,https://boxd.it/7XNbwd,,,,2022-06-10
2024-12-04,Top Gun,1986,https://boxd.it/7XNbw3,,,,2022-07-02
2024-12-04,Thor: Love and Thunder,2022,https://boxd.it/7XNbvT,,,,2022-07-17
2024-12-04,Le Brio,2017,https://boxd.it/7XNbvJ,,,,2022-08-02
2024-12-04,Dead Poets Society,1989,https://boxd.it/7XNbvp,,,,2022-08-04
2024-12-04,The Wannabes,2022,https://boxd.it/7XNbvz,,,,2022-08-04
2024-12-04,The Help,2011,https://boxd.it/7XNbvf,,,,2022-08-13
2024-12-04,Romeo + Juliet,1996,https://boxd.it/7XNbuV,,,,2022-08-14
2024-12-04,Interview with the Vampire,1994,https://boxd.it/7XNbuB,,,,2022-08-17
2024-12-04,Working Girl,1988,https://boxd.it/7XNbur,,,,2022-08-18
2024-12-04,The Breakfast Club,1985,https://boxd.it/7XNbuh,,,,2022-08-26
2024-12-04,Charlie and the Chocolate Factory,2005,https://boxd.it/7XNbtD,,,,2022-09-05
2024-12-04,Everything Everywhere All at Once,2022,https://boxd.it/7XNbtt,,,,2022-09-06
2024-12-04,Pretty Woman,1990,https://boxd.it/7XNbtj,,,,2022-09-07
2024-12-04,Runaway Bride,1999,https://boxd.it/7XNbt9,,,,2022-09-08
2024-12-04,When Harry Met Sally...,1989,https://boxd.it/7XNbsZ,,,,2022-09-20
2024-12-04,Pierrot le Fou,1965,https://boxd.it/7XNbsP,,,,2022-09-24
2024-12-04,Bridget Jones's Diary,2001,https://boxd.it/7XNbsF,,,,2022-09-25
2024-12-04,Blonde,2022,https://boxd.it/7XNbsv,,,,2022-10-01
2024-12-04,What If,2013,https://boxd.it/7XNbsl,,,,2022-10-05
2024-12-04,JFK,1991,https://boxd.it/7XNbsb,,,,2022-10-07
2024-12-04,Le soleil brille pour tout le monde mais les hommes préfèrent les blondes,2008,https://boxd.it/7XNbs1,,,,2022-10-09
2024-12-04,The Innocents,2021,https://boxd.it/7XNbrR,,,,2022-10-12
2024-12-04,The Crow: City of Angels,1996,https://boxd.it/7XNbrH,,,,2022-10-15
